Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Month
DrDisrespect,137535630,5970,76798,23037,4377168,72940,3977831,True,False,English,7-2019
DrDisrespect,130598205,6960,58647,18763,4377168,51911,2917969,True,False,English,12-2019
DrDisrespect,125953770,6495,36939,19391,4377168,49520,3696685,True,False,English,9-2019
DrDisrespect,124951815,5685,43269,21978,4377168,45426,3514566,True,False,English,2-2020
DrDisrespect,118968315,7110,40871,16732,4377168,52803,3270572,True,False,English,4-2019
DrDisrespect,100335645,5355,34824,18736,4377168,55103,2578035,True,False,English,11-2019
DrDisrespect,94057590,6375,24202,14753,4377168,42166,3043641,True,False,English,5-2019
DrLupo,204543480,15840,40321,12912,3987941,65908,6985634,True,False,English,1-2020
DrLupo,157366815,14775,43947,10650,3987941,108081,4038450,True,False,English,4-2020
DrLupo,146145465,18030,33820,8105,3987941,103120,7756778,True,False,English,8-2019
DrLupo,124071660,12840,44777,9662,3988461,23925,4629203,True,False,English,2-2020
DrLupo,109980045,12330,50270,8919,3988461,54813,5905239,True,False,English,12-2019
DrLupo,109279275,14895,33950,7336,3987941,91005,3398926,True,False,English,4-2019
DrLupo,106809285,13740,90696,7773,3987941,90674,4412886,True,False,English,10-2019
DrLupo,95553630,13560,25321,7046,3987941,21434,2251538,True,False,English,3-2020
DrLupo,78893190,14520,16999,5433,3988461,18989,3257252,True,False,English,11-2019
DrLupo,74506500,10170,23590,7325,3987941,62972,2865113,True,False,English,7-2019
DrLupo,69185295,14220,18205,4864,3987941,62115,2144978,True,False,English,5-2019
DreadzTV,134198310,10800,35865,12425,662954,13515,4701852,True,True,Russian,12-2019
DreadzTV,109990515,9030,47057,12180,662954,19623,5010048,True,True,Russian,4-2019
DreadzTV,99082740,10665,17500,9290,662954,9386,4260814,True,True,Russian,9-2019
DreadzTV,85853460,10275,17593,8355,662954,5322,4052787,True,True,Russian,10-2019
DreadzTV,69649425,9750,18867,7143,662954,4656,3641375,True,True,Russian,11-2019
DreadzTV,66048435,5865,27338,11261,662954,9903,3067660,True,True,Russian,7-2019
DreadzTV,61845930,10140,23708,6098,662954,4704,2888978,True,True,Russian,2-2020
DreamHackCS,260810955,42255,212201,6171,1733740,76744,6627132,True,False,English,10-2019
DreamHackCS,125483505,44520,96768,2818,1733740,46168,3015176,True,False,English,5-2019
DreamHackDota2_RU,125078430,3030,98717,41279,203419,25374,2781645,True,False,Russian,12-2019
DreamHackRocketLeague,66690225,1800,67134,37049,186444,22592,903103,True,False,English,9-2019
DreamLeague,321345315,25260,147514,12721,349054,49000,5344118,True,False,English,1-2020
EASPORTSFIFA,163853655,3150,86720,52016,1244345,164461,3655515,True,False,English,11-2019
EASPORTSFIFA,101604930,3870,93527,26253,1244345,73482,1513493,True,False,English,4-2019
EASPORTSFIFA,68455125,3285,43170,20838,1244345,39145,1991947,True,False,English,7-2019
ESAMarathon,143700270,29070,22132,4942,233572,16765,19095771,True,False,English,2-2020
ESAMarathon,127194990,10875,23423,11695,233571,24713,12706599,True,False,English,7-2019
ESL_CSGO,865039575,42615,187932,20298,3932775,179981,20549527,True,False,English,4-2020
ESL_CSGO,727102875,41505,300575,17517,3932787,131939,19002513,True,False,English,3-2020
ESL_CSGO,545943870,44340,256447,12312,3932797,110451,19203938,True,False,English,7-2019
ESL_CSGO,410729475,41220,241941,9963,3932825,83732,11279238,True,False,English,2-2020
ESL_CSGO,323490840,44595,183052,7253,3932825,47928,7726288,True,False,English,12-2019
ESL_CSGO,295806510,42255,257120,7000,3932797,52362,6462468,True,False,English,9-2019
ESL_CSGO,269762925,43740,134677,6166,3932787,73393,8638911,True,False,English,5-2019
ESL_CSGO,255049650,44565,69649,5722,3932797,35844,6811927,True,False,English,10-2019
ESL_CSGO,238444485,42795,60447,5571,3932787,53191,8263078,True,False,English,4-2019
ESL_CSGO,225124395,43110,87510,5221,3932825,30555,8511160,True,False,English,11-2019
ESL_CSGO,99522420,44610,40529,2230,3932797,32358,3097762,True,False,English,1-2020
ESL_CSGO,71919300,44595,33961,1612,3932797,26363,2645914,True,False,English,8-2019
ESL_CSGOb,66570780,6960,89949,9564,567151,42039,2071601,True,False,English,2-2020
ESL_CSGOb,62703390,3660,86297,17131,567151,29031,2869114,True,False,English,7-2019
ESL_DOTA2,313353180,11805,99858,26543,325891,40189,5501462,True,False,English,4-2020
ESL_DOTA2,116046315,42540,78280,2727,325929,25693,3985465,True,False,English,5-2019
ESL_DOTA2,85687815,40155,50353,2133,325977,15257,2126998,True,False,English,10-2019
ESL_DOTA2,75435615,41865,40882,1801,325929,16338,2008206,True,False,English,4-2019
ESL_SC2,65267640,40575,32186,1608,290584,19560,1573408,True,False,English,2-2020
Elajjaz,66689985,13575,9015,4912,336111,3708,1263469,True,False,English,1-2020
ElmiilloR,78953310,19875,31898,3971,400907,24166,2584283,True,False,Spanish,3-2020
ElmiilloR,65790900,13800,12556,4767,400907,11457,1860552,True,False,Spanish,5-2019
Elraenn,125522550,4800,65543,26150,1065730,112907,3415388,True,False,Turkish,4-2020
Elraenn,66257205,4860,30122,13632,1065730,63610,2496587,True,False,Turkish,3-2020
Elwind,66914940,6195,24398,10800,658999,23168,2300866,True,False,Turkish,5-2019
Elwind,64870890,6255,22448,10370,658999,21012,1974407,True,False,Turkish,4-2019
EsfandTV,205850790,21225,27305,9698,421925,50870,8034810,True,False,English,9-2019
EsfandTV,103397520,19230,14521,5376,421925,13693,2253928,True,False,English,10-2019
EsfandTV,94511280,13920,28893,6789,421894,72485,2478058,True,False,English,5-2019
EsfandTV,77268900,14865,29597,5197,421925,39718,3650504,True,False,English,8-2019
Evelone192,315764190,9735,64639,32435,818577,238137,9338033,True,False,Russian,4-2020
Evelone192,103874220,6990,35063,14859,818577,62808,3409939,True,False,Russian,3-2020
Evo,167657250,2490,233035,67331,379912,63614,5235301,True,False,English,8-2019
FACEIT TV (faceittv),93433140,2070,95202,45136,1694571,25519,2195773,True,False,English,11-2019
FACEIT TV (faceittv),85622475,6690,75342,12798,1694571,33622,2893179,True,False,English,5-2019
FACEIT TV (faceittv),85159695,7425,52703,11468,1694571,16563,4578577,True,False,English,10-2019
FACEIT TV (faceittv),81043605,4800,37990,16883,1694571,43125,4119792,True,False,English,4-2019
FACEIT TV (faceittv),65268195,11055,145470,5903,1694571,8872,1677693,True,False,English,12-2019
FORMAL,74936475,17730,15564,4226,494096,29953,935698,True,False,English,11-2019
FORMAL,64352550,19560,6218,3289,494096,21020,706179,True,False,English,12-2019
FPSThailand,66652485,10110,55381,6592,375714,21368,2493467,True,False,Thai,4-2019
Faker,62290620,2175,48833,28638,2451023,50725,2644257,True,False,Korean,4-2019
Fextralife,721912920,23325,62994,30949,487674,126621,77162618,True,False,English,4-2020
Fextralife,165994605,8415,31986,19725,487682,6396,58610070,True,False,English,3-2020
Fextralife,165395535,12525,34209,13204,487689,20215,37867070,True,False,English,11-2019
Fextralife,149721495,7830,37699,19121,487689,7506,64018885,True,False,English,1-2020
Fextralife,133845960,8640,38404,15490,487682,9544,26719679,True,False,English,4-2019
Fextralife,126702120,8985,29441,14101,487689,7412,45223640,True,False,English,9-2019
Fextralife,120864765,6435,37169,18781,487689,9413,54139327,True,False,English,2-2020
Fextralife,116679240,9285,24819,12565,487682,5243,43128830,True,False,English,5-2019
Fextralife,97702380,8790,28531,11114,487689,4725,41768084,True,False,English,10-2019
Fextralife,93092055,7845,22942,11865,487689,4936,43937900,True,False,English,7-2019
Fextralife,70454355,6600,23190,10674,487689,3690,40726037,True,False,English,12-2019
FollowGrubby,66657615,12255,15296,5438,428020,10566,3394890,True,False,English,2-2020
Fortnite,275788560,1680,488539,164159,3104437,212535,11866145,True,False,English,7-2019
Fortnite,148450590,2490,169084,59618,3104437,406757,13886632,True,False,English,10-2019
Fortnite,109257525,3570,77833,30604,3104437,126934,3893374,True,False,English,4-2019
Fortnite,109206285,4740,67175,23038,3104437,101421,3617241,True,False,English,5-2019
Fresh,242748825,15765,30634,15397,2433959,302954,3833931,True,False,English,4-2020
Fresh,94744065,15690,15613,6038,2433959,136942,1583774,True,False,English,8-2019
Fresh,92688225,13995,16665,6622,2433959,80863,1536445,True,False,English,9-2019
Fresh,88820910,15210,16704,5839,2433959,174628,2018495,True,False,English,4-2019
Fresh,82069080,10590,17818,7749,2433959,115751,1929327,True,False,English,3-2020
Fresh,79159290,13095,16564,6044,2433959,70032,1146056,True,False,English,12-2019
Fresh,79121520,15360,13949,5150,2433959,127699,1750135,True,False,English,5-2019
Fresh,78970710,12570,16437,6281,2433959,124109,1705781,True,False,English,7-2019
Fresh,73018575,12960,12319,5633,2433959,55821,1196250,True,False,English,11-2019
Fresh,65942385,12030,11853,5480,2433959,79755,821535,True,False,English,1-2020
GRONKH,127762080,4530,100330,28203,1176783,23322,1869559,True,False,German,12-2019
GRONKH,117007155,6615,32405,17687,1176783,22962,1358675,True,False,German,11-2019
GRONKH,89731110,4995,30540,17963,1176644,14773,1149398,True,False,German,3-2020
GRONKH,82740435,5205,27528,15895,1176644,11377,1571525,True,False,German,4-2019
GRONKH,73779840,4965,26464,14859,1176725,13907,1792664,True,False,German,8-2019
GRONKH,69399105,3570,30627,19438,1176725,12770,920890,True,False,German,1-2020
GRONKH,68827710,4005,25446,17184,1176783,11324,893576,True,False,German,2-2020
GRONKH,64596675,4410,24649,14647,1176725,12066,1922611,True,False,German,9-2019
GRONKH,61728675,3720,25341,16593,1176725,12268,1223909,True,False,German,7-2019
GRONKH,60151785,3870,25627,15542,1176725,10349,1080835,True,False,German,10-2019
GTimeTV,60994365,22485,14110,2712,654155,28446,946657,True,True,German,12-2019
GamesDoneQuick,1186144725,12765,234826,92921,1694746,92753,22435038,True,False,English,1-2020
GamesDoneQuick,133510005,7170,55973,18620,1694746,12694,5851688,True,False,English,9-2019
GamesDoneQuick,84523935,11520,19729,7336,1694746,2693,8106696,True,False,English,2-2020
GarenaTW,203877480,6915,71313,29483,404698,19520,5301561,True,False,Chinese,10-2019
GarenaTW,92111460,5355,54694,17200,404698,13081,3695511,True,False,Chinese,5-2019
Giantwaffle,177421755,34110,20168,5200,892152,13329,1727874,True,False,English,11-2019
Gladd,101040630,20820,54477,4852,296313,33281,1798904,True,False,English,10-2019
Gladd,94874775,14640,25977,6480,296313,30002,1320586,True,False,English,1-2020
Gorgc,154092945,12660,56449,12171,368889,28421,2337973,True,True,English,2-2020
Gorgc,124714410,13410,16495,9299,368889,11566,1998504,True,True,English,3-2020
Gorgc,106446900,13305,19981,7999,368889,17234,1794110,True,True,English,5-2019
Gorgc,100181925,10440,24058,9595,368889,14150,1833052,True,True,English,7-2019
Gorgc,96136755,12435,13338,7730,368889,9745,1481144,True,True,English,12-2019
Gorgc,92736915,10830,16299,8562,368889,13131,1630681,True,True,English,8-2019
Gorgc,88114740,11265,14473,7821,368889,10903,1401986,True,True,English,1-2020
Gorgc,84578040,10410,16005,8124,368889,8562,1461251,True,True,English,9-2019
Gorgc,83479245,10740,20770,7772,368889,7489,1377937,True,True,English,11-2019
Gorgc,77530080,11325,15045,6845,368889,9216,1288901,True,True,English,4-2019
Gorgc,61484055,10395,12087,5914,368889,9018,1138529,True,True,English,10-2019
Gotaga,321490245,13875,81644,23170,2316537,153555,7561305,True,False,French,4-2020
Gotaga,172863570,14400,78239,12003,2316625,64388,4698521,True,False,French,9-2019
Gotaga,156992730,11310,116156,13880,2316557,46263,3267729,True,False,French,5-2019
Gotaga,150135105,12900,72963,11638,2316625,44791,3547258,True,False,French,10-2019
Gotaga,140496870,6570,89495,21384,2316557,49713,2426402,True,False,French,4-2019
Gotaga,125547975,13365,32189,9393,2316557,43278,3266368,True,False,French,3-2020
Gotaga,120466425,11205,43146,10750,2316668,30782,2197579,True,False,French,11-2019
Gotaga,100160250,11925,59046,8398,2316668,29031,2268501,True,False,French,12-2019
Gotaga,99872160,15765,20169,6334,2316625,39064,2401948,True,False,French,1-2020
Gotaga,92620035,12195,50317,7594,2316668,35821,2288693,True,False,French,2-2020
Gotaga,89831610,16095,24383,5580,2316625,33252,2522758,True,False,French,7-2019
Greekgodx,99451455,11010,25545,9032,1215872,50773,2033048,True,True,English,2-2020
Greekgodx,95970915,14580,36015,6581,1215811,27925,1925467,True,True,English,3-2020
Greekgodx,76597095,11685,20202,6554,1215841,34036,1547843,True,True,English,8-2019
H2P_Gucio,67027680,16170,8810,4144,203660,8355,1272356,True,False,Polish,1-2020
HasanAbi,140413305,20295,18238,6918,326294,36308,1527161,True,False,English,4-2020
HasanAbi,137705520,16980,28226,8109,326356,27717,1268514,True,False,English,3-2020
HasanAbi,91836855,14250,18128,6444,326489,23846,840395,True,False,English,2-2020
HasanAbi,81294930,17295,17518,4700,326449,20920,857494,True,False,English,1-2020
IrmanPlay,117993765,10365,17697,11383,262349,142615,1780673,False,False,Russian,4-2020
IzakOOO,267850470,18720,43050,14307,1435312,142647,5052271,True,False,Polish,4-2020
IzakOOO,82351020,11595,25881,7101,1435312,18521,3021539,True,False,Polish,8-2019
IzakOOO,56094810,8850,31936,6337,1435312,5702,2198813,True,False,Polish,9-2019
JLTomy,176965275,14955,33098,11832,351376,45447,1826162,True,False,French,4-2020
JLTomy,78580890,10995,20567,7146,351376,38238,1128460,True,False,French,8-2019
JLTomy,63941190,11250,17375,5683,351376,15567,833816,True,False,French,9-2019
JLTomy,59323425,10335,12933,5739,351376,7705,570894,True,False,French,10-2019
Jahrein,59404650,6360,19881,9339,1382653,29098,2250806,True,False,Turkish,7-2019
JohnPitterTV,73883580,42855,3245,1723,235341,36662,1599778,True,False,Portuguese,3-2020
JokerdTV,70217490,5925,319862,11850,151904,103283,2455299,True,True,English,8-2019
JoshOG,59388900,13500,15183,4398,1747420,22763,2440945,True,False,English,12-2019
KendineMuzisyen,67776225,8385,18046,8082,1257264,39560,2367064,True,True,Turkish,5-2019
KingGothalion,97780260,16575,20536,5898,1015521,20806,1407789,True,False,English,9-2019
KingGothalion,93278475,11385,41994,8192,1015521,17929,1544454,True,False,English,10-2019
Kitboga,68523165,6645,20913,10311,675304,28521,757962,True,False,English,9-2019
Kitboga,64876455,7110,20017,9124,675304,25208,783245,True,False,English,10-2019
Kitboga,62453445,8130,14344,7681,675304,38552,693679,True,False,English,1-2020
Kyle,56446245,13470,8855,4190,174492,10140,684936,True,True,English,9-2019
LCK,277156065,7140,117509,38816,816907,64855,5499483,True,False,English,2-2020
LCK,273861960,6915,171861,39603,816907,64807,6040963,True,False,English,4-2020
LCK,127216410,5595,106395,22736,816907,29324,2299912,True,False,English,8-2019
LCK,102041160,3495,68417,29195,816907,19194,2339564,True,False,English,3-2020
LCK,89321520,6030,46502,14812,816907,14473,1796799,True,False,English,7-2019
LCK_Korea,351087705,7170,125879,48965,566943,45981,10554767,True,False,Korean,10-2019
LCK_Korea,305437440,6945,120184,43978,566943,43331,12245644,True,False,Korean,4-2020
LCK_Korea,261871320,7245,90299,36144,566943,39583,10610256,True,False,Korean,2-2020
LCK_Korea,241876170,5640,132406,42885,566943,40065,8462459,True,False,Korean,8-2019
LCK_Korea,198606300,6090,92433,32611,566943,19623,7658188,True,False,Korean,7-2019
LCK_Korea,163192035,5130,95919,31810,566943,23056,6710395,True,False,Korean,5-2019
LCK_Korea,141764790,3630,96438,39053,566943,21065,6346785,True,False,Korean,3-2020
